cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;codigo_Postal;m2_areasverdes;num_personas;num_personas_hombres;num_personas_mujeres;total_transacciones;viv_nuevas_transacciones;viv_usadas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;Renta neta media por persona;Renta neta media por hogar;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar;Habitantes;Hogares;tamano_medio_del_hogar;Tamaño del hogar (Nº de personas en la vivienda);hog_con_1;hog_con_2;hog_con_3;hog_con_4;hog_con_5;hog_con_6;hog_con_7;hog_con_8;hog_con_9;hog_con_10;hog_con_11;hog_con_12;hog_con_13;hog_con_14;hog_con_15 y más;Comercio_ServiciosMinoristas;Hosteleria_Restauracion;Salud_Bienestar_Educacion;Servicios_Profesionales;Cultura_Entretenimiento
28079;Madrid;10; Latina;104;Aluche;28047;;66588;30384;36204;519;23;496;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;817;338;255;413;360
28079;Madrid;10; Latina;105;Campamento;28024;;19750;9111;10639;147;17;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;2;1;0
28079;Madrid;10; Latina;106;CuatroVientos;28024;;6122;3068;3054;30;2;28;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;107;Águilas;28044;;51268;23725;27543;379;44;335;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;3;0;0
28079;Madrid;11; Carabanchel;111;Comillas;28019;;22721;10491;12230;294;28;266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;4;11;0
28079;Madrid;11; Carabanchel;112;Opañel;28019;;33883;15556;18327;351;47;304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;597;205;107;437;214
28079;Madrid;11; Carabanchel;113;SanIsidro;28019;;40368;18969;21399;427;46;381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;114;VistaAlegre;28025;;47727;21823;25904;505;36;469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;115;PuertaBonita;28025;;36798;17349;19449;400;44;356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;116;Buenavista;28025;;49151;23733;25418;519;113;406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;690;276;185;398;241
28079;Madrid;11; Carabanchel;117;Abrantes;28041;;31691;14711;16980;317;20;297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;1;2;8;0
28079;Madrid;12; Usera;121;Orcasitas;28041;;23085;10900;12185;122;1;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164;74;42;42;62
28079;Madrid;12; Usera;122;Orcasur;28041;;14390;6987;7403;12;2;10;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121;58;39;78;47
28079;Madrid;12; Usera;123;SanFermín;28041;;23598;11246;12352;187;10;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;12; Usera;124;Almendrales;28026;;22834;10755;12079;135;21;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;3;3;13;0
28079;Madrid;12; Usera;125;Moscardó;28026;;26579;12531;14048;176;17;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;617;236;93;230;187
28079;Madrid;12; Usera;126;Zofío;28026;;14382;6681;7701;133;9;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155;59;32;117;64
28079;Madrid;12; Usera;127;Pradolongo;28041;;17878;8438;9440;7;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;404;135;58;209;131
28079;Madrid;13; Puente de Vallecas;131;Entrevías;28053;;35399;16976;18423;403;172;231;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;3;1;5;0
28079;Madrid;13; Puente de Vallecas;132;SanDiego;28053;;45104;21593;23511;699;242;457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;13; Puente de Vallecas;133;PalomerasBajas;28018;;40477;18947;21530;315;47;268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;13; Puente de Vallecas;134;PalomerasSureste;28018;;43162;20491;22671;424;39;385;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;13; Puente de Vallecas;135;Portazgo;28018;;28741;13471;15270;308;56;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;385;123;83;176;173
28079;Madrid;13; Puente de Vallecas;136;Numancia;28038;;48720;23064;25656;546;94;452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;11;6;8;0
28079;Madrid;14; Moratalaz;141;Pavones;28030;;8814;4035;4779;58;4;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;1;4;12;0
28079;Madrid;14; Moratalaz;142;Horcajo;28030;;6339;3029;3310;20;1;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;15;29;24;8
28079;Madrid;14; Moratalaz;143;Marroquina;28030;;26120;11962;14158;183;8;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;316;138;126;164;198
28079;Madrid;14; Moratalaz;144;MediaLegua;28030;;17323;7828;9495;122;4;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;14; Moratalaz;145;Fontarrón;28030;;17333;7876;9457;158;13;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185;48;45;54;46
28079;Madrid;14; Moratalaz;146;Vinateros;28030;;16885;7482;9403;160;2;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181;43;33;55;69
28079;Madrid;15; Ciudad Lineal;151;Ventas;28027;;50218;22868;27350;599;68;531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;4;7;12;0
28079;Madrid;15; Ciudad Lineal;152;PuebloNuevo;28017;;62840;28982;33858;774;31;743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;153;Quintana;28027;;25469;11449;14020;346;26;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;537;188;148;329;231
28079;Madrid;15; Ciudad Lineal;154;Concepción;28027;;20941;9402;11539;254;0;254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;382;184;117;324;157
28079;Madrid;15; Ciudad Lineal;155;SanPascual;28027;;18327;8349;9978;171;0;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;156;SanJuanBautista;28043;;12445;5813;6632;131;8;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;157;Colina;28027;;6569;2973;3596;105;11;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;41;65;111;51
28079;Madrid;15; Ciudad Lineal;158;Atalaya;28027;;1622;691;931;17;1;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;15;17;13
28079;Madrid;15; Ciudad Lineal;159;Costillares;28027;;21914;10232;11682;153;11;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;95;107;256;104
28079;Madrid;16; Hortaleza;161;Palomas;28043;;6922;3404;3518;50;0;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;38;27;45;30
28079;Madrid;16; Hortaleza;162;Piovera;28055;;15041;7211;7830;186;94;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;78;81;82;64
28079;Madrid;16; Hortaleza;163;Canillas;28043;;39786;18485;21301;321;10;311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;544;234;239;407;240
28079;Madrid;16; Hortaleza;164;PinardelRey;28033;;52031;23825;28206;448;62;386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
