banos,cod_barrio,cod_barrio_group,cod_distrito,codigo_postal,comercio_serviciosminoristas,cultura_entretenimiento,dormitorios,hog_con_10,lineas_metro,m2_constr,num_personas,renta_bruta_media_por_persona,salud_bienestar_educacion,servicios_profesionales,target,target_log,tipo_inmueble
3.0,36,3,0,14,1208.0,259.0,3.0,43.0,7.0,106.0,32783.0,27030.0,137.0,582.0,839000.0,13.639965985449344,0
5.0,115,4,19,45,197.0,99.0,6.0,53.0,3.0,270.0,3421.0,28798.0,148.0,121.0,890000.0,13.698976741708321,0
5.0,121,4,19,33,197.0,99.0,11.0,53.0,3.0,1235.0,35676.0,28798.0,148.0,121.0,2800000.0,14.845129975145433,2
2.0,36,3,0,14,1208.0,259.0,2.0,43.0,7.0,101.0,32783.0,27030.0,137.0,582.0,640000.0,13.369223455335854,0
1.0,7,3,0,12,1208.0,259.0,1.0,43.0,7.0,31.0,23501.0,27030.0,137.0,582.0,0.0,-inf,0
2.0,46,3,0,12,1208.0,259.0,2.0,43.0,7.0,101.0,8164.0,27030.0,137.0,582.0,789000.0,13.57852159982801,0
1.0,46,3,0,12,1208.0,259.0,1.0,43.0,7.0,102.0,8164.0,27030.0,137.0,582.0,625000.0,13.345506928718537,0
7.0,126,4,20,21,532.0,207.0,5.0,26.0,6.0,668.0,7156.0,36592.0,235.0,347.0,4300000.0,15.27412558066379,0
1.0,82,2,11,42,1151.0,454.0,1.0,17.0,4.0,33.0,28575.0,27431.0,494.0,969.0,172000.0,12.05524975579559,0
4.0,91,4,15,0,2470.0,917.0,3.0,11.0,6.0,223.0,15444.0,38751.0,928.0,2315.0,3300000.0,15.009433026436708,0
1.0,2,0,1,44,1223.0,523.0,3.0,82.0,3.0,80.0,36749.0,17267.0,366.0,628.0,199000.0,12.201060103706629,0
1.0,50,2,7,31,1114.0,486.0,2.0,38.0,2.0,55.0,52031.0,29047.0,596.0,1135.0,210000.0,12.254862809699606,0
2.0,92,4,15,0,2470.0,917.0,3.0,11.0,6.0,156.0,29477.0,38751.0,928.0,2315.0,0.0,-inf,2
4.0,15,2,0,11,1208.0,259.0,7.0,43.0,7.0,280.0,46204.0,27030.0,137.0,582.0,1890000.0,14.452087387035826,0
1.0,42,3,6,40,1211.0,556.0,2.0,62.0,5.0,86.0,12445.0,22440.0,459.0,1049.0,490000.0,13.10216067008681,0
3.0,110,3,18,14,1930.0,905.0,5.0,21.0,9.0,330.0,24190.0,36934.0,1039.0,1910.0,0.0,-inf,0
1.0,0,1,1,44,1223.0,523.0,3.0,82.0,3.0,84.0,17903.0,17267.0,366.0,628.0,195000.0,12.180754837545884,0
1.0,2,0,1,44,1223.0,523.0,3.0,82.0,3.0,63.0,36749.0,17267.0,366.0,628.0,127000.0,11.751942365440728,0
4.0,72,3,12,34,1504.0,552.0,5.0,44.0,3.0,265.0,11202.0,19768.0,381.0,828.0,990000.0,13.805460222110773,0
2.0,105,3,17,19,1337.0,538.0,4.0,70.0,6.0,180.0,20570.0,22890.0,375.0,1502.0,0.0,-inf,0
1.0,88,4,14,8,408.0,164.0,2.0,10.0,4.0,75.0,21492.0,33396.0,169.0,349.0,738000.0,13.51169910358261,0
5.0,91,4,15,0,2470.0,917.0,4.0,11.0,6.0,242.0,15444.0,38751.0,928.0,2315.0,0.0,-inf,2
2.0,1,1,1,10,1223.0,523.0,3.0,82.0,3.0,98.0,43292.0,17267.0,366.0,628.0,255000.0,12.449018824140563,0
1.0,49,3,7,40,1114.0,486.0,3.0,38.0,2.0,90.0,39786.0,29047.0,596.0,1135.0,253000.0,12.441144767709657,0
2.0,98,4,16,1,693.0,220.0,3.0,32.0,7.0,113.0,36027.0,42678.0,228.0,505.0,750000.0,13.527828485512494,0
1.0,0,1,1,44,1223.0,523.0,2.0,82.0,3.0,85.0,17903.0,17267.0,366.0,628.0,295000.0,12.594730635321957,0
2.0,105,3,17,19,1337.0,538.0,4.0,70.0,6.0,180.0,20570.0,22890.0,375.0,1502.0,960000.0,13.774688563444018,0
1.0,53,0,8,20,139.0,54.0,3.0,78.0,1.0,75.0,47817.0,13604.0,45.0,79.0,160000.0,11.982929094215963,0
3.0,52,4,7,47,1114.0,486.0,4.0,38.0,2.0,169.0,69176.0,29047.0,596.0,1135.0,650000.0,13.38472764187182,0
2.0,45,3,6,25,1211.0,556.0,3.0,62.0,5.0,179.0,21914.0,22440.0,459.0,1049.0,575000.0,13.262125319779487,0
